 1.0000000    -0.0001432
 0.9950002     0.0004133
 0.9900005     0.0011667
 0.9800009     0.0026490
 0.9700013     0.0042440
 0.9550020     0.0068070
 0.9350028     0.0106050
 0.9100039     0.0156214
 0.8800051     0.0215935
 0.8450065     0.0284157
 0.8100078     0.0350018
 0.7700091     0.0420134
 0.7300104     0.0488032
 0.6900116     0.0552402
 0.6500126     0.0610641
 0.6000137     0.0673499
 0.5500146     0.0723449
 0.5000153     0.0762275
 0.4500158     0.0791643
 0.4000161     0.0811899
 0.3500163     0.0822198
 0.3000162     0.0822865
 0.2500160     0.0815908
 0.2000156     0.0798886
 0.1500147     0.0758942
 0.1140137     0.0704514
 0.0880126     0.0649066
 0.0685116     0.0591971
 0.0535105     0.0533236
 0.0416094     0.0476677
 0.0320584     0.0423770
 0.0245075     0.0373798
 0.0186067     0.0327985
 0.0141559     0.0289519
 0.0110553     0.0257835
 0.0090048     0.0234145
 0.0070043     0.0206153
 0.0052037     0.0177569
 0.0034029     0.0143303
 0.0019522     0.0108707
 0.0008015     0.0070541
 0.0001205     0.0026820
-0.0000002    -0.0003747
 0.0005488    -0.0044859
 0.0019978    -0.0083789
 0.0039969    -0.0119995
 0.0061961    -0.0149796
 0.0085954    -0.0175960
 0.0109948    -0.0196607
 0.0146441    -0.0221937
 0.0195433    -0.0247640
 0.0261425    -0.0275897
 0.0342916    -0.0304281
 0.0444806    -0.0334144
 0.0568896    -0.0366489
 0.0724386    -0.0400016
 0.0923876    -0.0432469
 0.1184866    -0.0466253
 0.1499858    -0.0497362
 0.1999850    -0.0524877
 0.2499845    -0.0546767
 0.2999843    -0.0559257
 0.3499842    -0.0565295
 0.3999843    -0.0564415
 0.4499847    -0.0555574
 0.4999851    -0.0544326
 0.5499858    -0.0524408
 0.5999866    -0.0499784
 0.6499877    -0.0467122
 0.6899887    -0.0436406
 0.7299898    -0.0401349
 0.7699910    -0.0361982
 0.8099923    -0.0318381
 0.8449935    -0.0275775
 0.8799948    -0.0229523
 0.9099961    -0.0182138
 0.9349971    -0.0139912
 0.9549980    -0.0105873
 0.9699986    -0.0075804
 0.9799991    -0.0053109
 0.9899995    -0.0029481
 0.9949998    -0.0015226
