0.00000 533977.86968 0.01385 0.00504
17.34694 510868.81002 0.01399 0.00508
34.69388 487759.75036 0.01414 0.00513
52.04082 464650.69070 0.01430 0.00518
69.38776 441541.63105 0.01447 0.00523
86.73469 418432.57139 0.01465 0.00529
104.08163 393609.21221 0.01486 0.00535
121.42857 367932.47925 0.01510 0.00543
138.77551 342255.74630 0.01426 0.00551
156.12245 316579.01335 0.01454 0.00559
173.46939 290902.28040 0.01484 0.00569
190.81633 272158.26534 0.01509 0.00577
208.16327 267158.05945 0.01516 0.00579
225.51020 262157.85356 0.01523 0.00582
242.85714 257157.64767 0.01530 0.00584
260.20408 252157.44178 0.01538 0.00586
277.55102 247157.23589 0.01546 0.00589
294.89796 242157.03000 0.01554 0.00591
312.24490 237156.82410 0.01562 0.00594
329.59184 232156.61821 0.01570 0.00596
346.93878 227156.41232 0.01579 0.00599
364.28571 222156.20643 0.01588 0.00602
381.63265 217156.00054 0.01598 0.00605
398.97959 212155.79465 0.01607 0.00608
416.32653 207155.58876 0.01617 0.00611
433.67347 202155.38287 0.01628 0.00614
451.02041 197155.17698 0.01638 0.00617
468.36735 192154.97109 0.01649 0.00621
485.71429 187154.76520 0.01661 0.00624
503.06122 182154.55931 0.01673 0.00628
520.40816 177154.35341 0.01685 0.00631
537.75510 172154.14752 0.01699 0.00635
555.10204 167153.94163 0.01712 0.00639
572.44898 162153.73574 0.01727 0.00644
589.79592 157153.52985 0.01742 0.00648
607.14286 152153.32396 0.01758 0.00652
624.48980 147153.11807 0.01774 0.00657
641.83673 142152.91218 0.01792 0.00662
659.18367 137152.70629 0.01811 0.00667
676.53061 132152.50040 0.01831 0.00673
693.87755 127152.29451 0.01853 0.00678
711.22449 122152.08862 0.01876 0.00684
728.57143 117151.88272 0.01902 0.00691
745.91837 112151.67683 0.01929 0.00698
763.26531 107151.47094 0.01959 0.00705
780.61224 102151.26505 0.01991 0.00712
797.95918 97151.05916 0.02027 0.00720
815.30612 92150.85327 0.02066 0.00729
832.65306 87150.64738 0.02110 0.00738
850.00000 82150.44149 0.02158 0.00748
